qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
ABDEGIJK,3D,3G,3E,3K,3B,3A,3J,3I
ABDEGHKL,3D,3H,3E,3K,3B,3A,3G,3L
ABDEGHJL,3D,3G,3H,3E,3B,3A,3J,3L
ABDEGHJK,3D,3G,3H,3K,3B,3A,3J,3E
ABDEGHIL,3D,3H,3E,3I,3B,3A,3G,3L
ABDEGHIK,3D,3H,3E,3K,3B,3A,3G,3I
ABDEGHIJ,3D,3G,3H,3I,3B,3A,3J,3E
ABDEFJKL,3D,3F,3E,3K,3B,3A,3J,3L
ABDEFIKL,3D,3F,3E,3K,3B,3A,3I,3L
ABDEFIJL,3D,3F,3E,3I,3B,3A,3J,3L
ABDEFIJK,3D,3F,3E,3K,3B,3A,3J,3I
ABDEFHKL,3D,3F,3H,3K,3B,3A,3E,3L
ABDEFHJL,3D,3F,3H,3E,3B,3A,3J,3L
ABDEFHJK,3D,3F,3H,3K,3B,3A,3J,3E
ABDEFHIL,3D,3F,3H,3I,3B,3A,3E,3L
ABDEFHIK,3D,3F,3H,3K,3B,3A,3E,3I
ABDEFHIJ,3D,3F,3H,3I,3B,3A,3J,3E
ABDEFGKL,3D,3F,3E,3K,3B,3A,3G,3L
ABDEFGJL,3D,3F,3E,3J,3B,3A,3G,3L
ABDEFGJK,3D,3F,3E,3K,3B,3A,3G,3J
ABDEFGIL,3D,3F,3E,3I,3B,3A,3G,3L
ABDEFGIK,3D,3F,3E,3K,3B,3A,3G,3I
ABDEFGIJ,3D,3F,3E,3J,3B,3A,3G,3I
ABDEFGHL,3D,3F,3H,3E,3B,3A,3G,3L
ABDEFGHK,3D,3F,3H,3K,3B,3A,3G,3E
ABDEFGHJ,3D,3F,3H,3J,3B,3A,3G,3E
ABDEFGHI,3D,3F,3H,3I,3B,3A,3G,3E
ABCHIJKL,3C,3H,3I,3K,3B,3A,3J,3L
ABCGIJKL,3C,3G,3I,3K,3B,3A,3J,3L
